"X","sentence","head","tail","rel_head_tail","rel_tail_head"
3106,"In mid-2017, Kilimnik and Patten organized a survey at Kilimnik's urging to, in part, discreetly measure voters' openness to Yanukovych's return.","Kilimnik","Patten","positive","positive"
3107,"Polonskaya is a Russian citizen who Mifsud used as a proxy for his activities.","Mifsud","Polonskaya","positive","none"
3108,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Murtaza Akbar","Timur Beniaminov","neutral","neutral"
3109,"In mid-October, Ivanka Trump tasked the Trump Campaign's senior officials (including: Bannon, Scavino, Stephen Miller and Jason Miller) with preparing two Trump tweets every day linking to WikiLeaks content, which, she said, would help ""refocus the narrative.""","Bannon","Trump Campaign","neutral","none"
3110,"The Russian contacts consisted of business connections, offers of assistance to the Trump Campaign, invitations for candidate Trump and Putin to meet in person, invitations for Trump Campaign officials and representatives of the Russian government to meet, and policy positions seeking improved U.S.-Russian relations.","Russia","Trump Campaign","positive","positive"
3111,"Trump and Kushner were reportedly willing to ""cooperate"" with the RNC's efforts on this front, overcoming their earlier skepticism of working with the RNC, and demonstrating that both were focused on the possibility of WikiLeaks. releasing Clinton documents.","Kushner","RNC","positive","none"
3112,"Sater also told Cohen that the next step was to get Putin ""on board.""","Sater","Cohen","neutral","neutral"
3113,"Kilimnik remained deeply involved in Manafort's efforts to assist the OB.","Kilimnik","Manafort","positive","positive"
3114,"Kilimnik reiterated to the associate that Manafort said that they have a ""clever plan of screwing Clinton.""","Kilimnik","Manafort","positive","none"
3115,"Later that evening, Cohen and Sater exchanged drafts of the invitation letter, which included the following draft text: In furtherance of our previous conversations regarding the development of the Trump Tower Moscow project, we would like to respectfully invite you to Moscow
for a working visit.","Sater","Cohen","neutral","neutral"
3116,"Additionally, according to Gates, Manafort instructed Gates to begin sending Kilimnik certain Trump Campaign polling data and other Campaign updates as a result of this meeting between Manafort and Kilimnik.","Gates","Kilimnik","neutral","neutral"
3117,"Following the meeting with Yakunin, Rohrabacher, Behrends, and the other members of the delegation met with Konstantin Kosachev, the Chairman of the Council of the Federation Committee on Foreign Affairs.","Yakunin","Konstantin Kosachev","neutral","neutral"
3118,"On March 20, 2017, in open-session testimony before HPSCI, Comey stated: I have been authorized by the Department of Justice to confirm that the FBI, as part of our counterintelligence mission, is investigating the Russian government's efforts to interfere in the 2016 presidential election, and that includes investigating the nature of any links between individuals associated with the Trump campaign and the Russian government and whether there was any coordination between the campaign and Russia's efforts ....","FBI","Russian government","negative","none"
3119,"Their names are Alex Sapir and Rotem Rosen.""","Alex Sapir","Donald Trump","positive","positive"
3120,"However, once confronted with travel records showing that Kilimnik was also in Madrid at the same time, Manafort ultimately admitted that he met with Kilimnik in Madrid during the February trip.","Manafort","Kilimnik","neutral","neutral"
3121,"On January 13, 2014, Emin Agalarov and Trump Jr. met in person, along with Goldstone, at Nobu in New York City.","Goldstone","Trump Jr.","neutral","neutral"
3122,"Kilimnik quickly became an integral part of Manafort's operations in Ukraine and Russia, serving as Manafort's primary liaison to Deripaska and eventually managing Manafort's office in Kyiv.","Manafort","Deripaska","positive","positive"
3123,"It was Chris Christie’s daughter-in-law Ivanka Trump who held the real influence in the Trump circle, who delivered the blow.","Ivanka Trump","Chris Christie","negative","negative"
3124,"His fortunes flagging in a must-win state, President Donald Trump on Thursday brought back Ron DeSantis who helped him carry the battleground in 2016, overruling the long-standing objections of the Republican governor and Susie Wiles","Susie Wiles","Ron DeSantis","negative","none"
3125,"Davis met Deripaska in 2003 through Nathaniel Rothschild, a British investment fund manager and scion of the Rothschild banking dynasty.","Davis","Deripaska","neutral","neutral"
3126,"Trump advisor Carter Page holds secret meetings in Moscow with Sechin and senior Kremlin Internal Affairs official, Diveykin","Carter Page","Sechin","neutral","neutral"
3127,"On September 15, the DCLeaks persona reached out to WikiLeaks on Twitter: hi there!","DCLeaks","Wikileaks","neutral","neutral"
3128,"With Gates's help, Manafort was involved in outreach from the Ukrainian Embassy in the United States to the Trump Campaign in September 2016.","the Ukrainian Embassy","the Trump Campaign","neutral","neutral"
3129,"At 3:38 p.m., Trump Jr. provided his cell phone number.","Rob Goldstone","Emin Agalarov","neutral","none"
3130,"It was Steve Bannon’s wall around the president—one that Steve Bannon hoped would keep Jarvanka out.","Steve Bannon","Jarvanka","negative","negative"
3131,"Throughout 2015 and 2016, Aras Agalarov and Emin Agalarov remained in regular contact with Trump and Trump Jr., often through Graff and Goldstone or other staffworking for the Agalarovs.","Aras Agalarov","Goldstone","neutral","neutral"
3132,"The previously unreported meeting was also attended by Mr. Trump’s campaign chairman at the time, Paul J. Manafort, and by the president’s son-in-law, Jared Kushner.","Paul J. Manafort","Natalia Veselnitskaya","neutral","neutral"
3133,"In late November 2016, Kilimnik sent Manafort a summary of an interview with the head of Ukraine's Specialized Anti-Corruption Prosecutor's Office (SAPO).","Kilimnik","Manafort","neutral","neutral"
3134,"In the midst of the speculation, WikiLeaks reached out directly to Donald Trump Jr. and asked him to ""comment on/push"" a report about Clinton asking whether Assange could be droned.","WikiLeaks","Trump Jr.","neutral","neutral"
3135,"Sater and Bayrock's projects with the Trump Organization included a development in Ft. Lauderdale and the Trump SoHo development in New York.","Sater","Trump Organization","neutral","none"
3136,"Among them were messages about a plan to resolve the Ukraine conflict which involved Yanukovych, the same plan that Kilimnik had raised with Manafort during the August 2, 2016 meeting.","Kilimnik","Manafort","neutral","neutral"
3137,"But it was basically that was the dirt Rob Goldstone had, was going to be Russian donors to Hillary's campaign that they had through emails.","Rob Goldstone","Hillary's campaign","negative","none"
3138,"In the afternoon following Comey's testimony, the President met with McGahn, Sessions, and Sessions's Chief of Staff Jody Hunt.","Jody Hunt","Sessions","neutral","none"
3139,"At the time of the meeting, Yakunin was sanctioned by the United States.","United States","Yakunin","negative","none"
3140,"Speaking to a trusted compatriot in mid October 2016, a close associate of Rosneft President and Putin ally Igor Sechin elaborated on the reported secret meeting between the latter and Carter Page, of US Republican presidential candidate's foreign policy team, in Moscow in July 2016","Igor Sechin","Putin","positive","positive"
3141,"Mifsud's use of Polonskaya as a proxy to further induce contact with Papadopoulos is consistent with intelligence tradecraft.","Mifsud","Papadopoulos","positive","none"
3142,"In 2013, .the U.S. Government alleged that Prevezon Holdings was involved in laundering the proceeds of a $230 million Russian tax fraud scheme that involved corrupt Russian officials.","the U.S. government","Prevezon Holdings","negative","none"
3143,"Akhmetov, Ukraine's richest oligarch, was the primary backer of Yanukovych and maintained close ties to Deripaska and other Russian government and organized crime figures.","Akhmetov","Deripaska and other Russian government","positive","positive"
3144,"Getting to Mikhail Ziats and Andrei Rozov to push the agenda forward, that would be an example of how Felix Sater would get that agenda pushed forward.","Felix Sater","Mikhail Ziats","neutral","none"
3145,"The Trump Campaign strategically monitored and promoted the WikiLeaks releases of John Podesta's emails from October 7 until the election","Trump Campaign","WikiLeaks","positive","none"
3146,"Around the time that the DNC announced in mid-June 2016 the Russian government's role in hacking its network, the GRU began disseminating stolen materials through the fictitious online personas ""DCLeaks"" and ""Guccifer 2.0.""","DNC","Russian government","negative","negative"
3147,"On June 24, 2013, Rhona Graff, Trump's assistant, wrote to Shugart, informing her that, ""DT wants to send a letter to Putin inviting him to Miss Universe.","Rhona Graff","Shugart","neutral","neutral"
3148,"On Sunday, October 27, Svetlana Bignova, Grachev's deputy, sent an email to Goldstone, Emin Agalarov, Kaveladze, Grachev, and Beniaminov.","Svetlana Bignova","Goldstone","neutral","neutral"
3149,"In his conversation with Mr McGahn, Donald Trump asked what stopped him from ordering the Justice Department to investigate Mr Comey and Mrs Clinton, the two people familiar with the conversation said.","Donald Trump","McGahn","neutral","neutral"
3150,"Kilimnik quickly responded in a lengthy email to Manafort.","Manafort","Kilimnik","neutral","neutral"
3151,"As reflected in the notes, Donald Trump told Miller that the letter should start, ""While I greatly appreciate James Comey informing me that I am not under investigation concerning what I have often stated is a fabricated story on a Trump-Russia relationship - pertaining to the 2016 presidential election, please be informed that I, and I believe the American public - including Ds and Rs - have lost faith in you as Director of the FBT.""","Donald Trump","James Comey","negative","none"
3152,"Trump's comments Friday suggested that his stance had taken a turn with regards to the ventilators since Thursday night, when the President told Sean Hannity on Fox News that he was ""getting along"" with Cuomo but slammed the governor for wanting tens of thousands of ventilators, which the President doubts are necessary.","Trump","Sean Hannity","neutral","neutral"
3153,"Gates recalled that Kilimnik joined Manafort in most meetings with the oligarchs, and could not recall an instance where Manafort conducted a meeting with oligarchs without Kilimnik present.","Kilimnik","Manafort","neutral","neutral"
3154,"Trump and Kushner were reportedly willing to ""cooperate"" with the RNC's efforts on this front, overcoming their earlier skepticism of working with the RNC, and demonstrating that both were focused on the possibility of WikiLeaks. releasing Clinton documents.","Wikileaks","Clinton","negative","none"
3155,"While Trump was Sater's primary point of contact in theTrump Organization, Sater also worked with Donald Trump Jr., Ivanka Trump, and Jason Greenblatt at various times during his efforts.","Sater","Ivanka Trump","neutral","none"
3156,"Ukraine's Specialized Anti-Corruption Prosecutor who is investigating the case is basically making a point that a) the scans of alleged ""black ledger;' appeared in public domain in violation of existing procedures and were used for a specific purpose by Leschenko and Avakov, b) there is no evidence than any of that stuff is real, and have been no real movement since the beginning of investigation in august, and c) there are absolutely no grounds to suspect anyone, especially PJM in this whole thing.","Ukraine's Specialized Anti-Corruption Prosecutor","Avakov","negative","none"
3157,"On November 9, 2016, Kaveladze emailed Goldstone to inform him that Aras Agalarov wanted to send a congratulatory note to Trump and asked Goldstone to review a draft of the letter.","Kaveladze","Aras Agalarov","positive","none"
3158,"On August 19, Stone learned from Randy Credico that Julian Assange was slated to be a guest on his (Credico's) radio show the following Thursday, August 25.","Stone","Randy Credico","neutral","none"
3159,"The dinner that night ultimately included members ofthe Agalarov family, Trump Organization, Miss Universe Organization, and a number of Emin Agalarov's friends.","Agalarov Family","Trump Organization","neutral","neutral"
3160,"In his email to Cohen, Sater described VTB's support as ""major for us"" because of Kostin's ""position in Russia,"" where Kostin was ""extremely powerful and respected.""","Sater","Kostin","positive","none"
3161,"Shugart recalled that she left the party around midnight and that Trump and Schiller were still there.","Shugart","Trump","neutral","neutral"
3162,"For more than a decade, Sater sought to connect the Trump Organization with Russian developers and investors in pursuit of real estate opportunities in Russia, particularly in Moscow.","Sater","Trump Organization","positive","none"
3163,"Natalia Veselnitskaya showed up with a translator, which was news to Irakly “Ike” Kaveladze.","Irakly “Ike” Kaveladze","Natalia Veselnitskaya","neutral","none"
3164,"Dear Phil: It was great spending time with you in Moscow and making the rounds of the city in the hopes of the purchase or development of a project.","Donald Trump","Phil","positive","none"
3165,"“WAR ROOM is going to keep supporting President Trump seven days a week / 24 hours a day until he is acquitted.”","WAR ROOM","Trump","positive","positive"
3166,"Separately, the issue of a Trump-Putin meeting remained unresolved.","Trump","Putin","neutral","neutral"
3167,"Sater sent a link to LSR Group, one of Russia's largest construction companies and a major real estate developer.","Sater","Michael Cohen","neutral","neutral"
3168,"Emin and he both said the same continually: 'I know you didn't want to do this, I know you didn't want to set it up, but Mr. Agalarov really wanted it, and it's fine.'""","Emin","Agalarov","neutral","none"
3169,"Goldstone replied that he would try to ""track him [Emin] down in Moscow"" and asked what phone number Emin could use for the call.","Goldstone","Donald Trump Jr.","neutral","neutral"
3170,"Brad Parscale, who was in charge of the.Trump Campaign's data operation, provided some insight into how polling data was used.","Brad Parscale","Trump Campaign","neutral","none"
3171,"A former colleague of Assange has described his work as a ""one dimensional confrontation with the U.S.A.,"" and email probably drafted by Assange reflect his ambition to ""bring down"" the United States with leaks.","Assange","United States","negative","none"
3172,"The following year, Trump hired Cohen as a $500,000-a-year in-house counsel.","Trump","Cohen","neutral","none"
3173,"Stone then communicated this information to Trump and other senior Campaign officials and affiliates, including Manafort and Gates.","Stone","Trump","positive","none"
3174,"In the request, Cohen asked to speak with Sergei Ivanov, Putin's chief of staff.","Cohen","Sergei Ivanov","neutral","none"
3175,"During the meeting, Kilimnik updated Manafort on what was happening with Lyovochkin, Akhmetov, and their ""other friends"" in Kyiv.","Akhmetov","Kilimnik","positive","positive"
3176,"Among others, Rykov was congratulated by the Kremlin's Aleksey Zharich.","Aleksey Zharich","Kremlin","neutral","none"
3177,"Kushner and Powell organized a leak campaign in McMaster’s defense.","Kushner","Powell","positive","positive"
3178,"Kozhin may have already had a connection to Aras Agalarov","Kozhin","Aras Agalarov","neutral","neutral"
3179,"Goldstone recalled that he remained at the party until Trump and Schiller left to return to the hotel, again with a police escort and security.","Goldstone","Trump","neutral","none"
3180,"“I spoke to Donald Trump on Friday and he asked me if I thought it would be more respectful to move the rally date off of Juneteenth,” said Senator James Lankford, Republican of Oklahoma. “I told him yes.”","Donald Trump","James Lankford","neutral","neutral"
3181,"The immediate issues had been to contain further scandals involving MANAFORT's commercial and political role in Russia and Ukraine and to limit the damage arising from exposure of former TRUMP foreign policy advisor, Carter PAGE'S secret meetings with Russian leadership figures in Moscow the previous month.","MANAFORT","Ukraine","neutral","neutral"
3182,"However, Deripaska's work on behalf of the Kremlin included Deripaska's use of his own personal wealth for Kremlin-directed projects, blending Deripaska's interests and those of the Russian state.","Deripaska","Kremlin","positive","none"
3183,"Veselnitskaya has traveled frequently to the United States, in part due to her role representing the Russian businessman Denis Katsyv and his Cyprus-based company Prevezon Holdings.","Denis Katsyv","Prevezon Holdings","positive","positive"
3184,"On September 18, Emin Agalarov wrote to Goldstone, simply stating, ""Trump's letter is with Peskov he will pass on to the president.""","Trump","Peskov","neutral","none"
3185,"Goldstone also recalled, ""I'd said either pre-or post-meeting to Emin, probably Emin, that: 'This is a pretty big favor; I hope it was worth it to Aras Agalarov.","Goldstone","Aras Agalarov","positive","none"
3186,"Despite efforts by certain individuals to remove him from the Campaign, Papadopoulos continued to assert his affiliation with the Campaign and remained in contact with senior staff such as Stephen Bannon and Michael Flynn.","Papadopoulos","Stephen Bannon","neutral","neutral"
3187,"Manafort said Poroshenko had fabricated the ""black ledger"" and was supporting Hillary Clinton.","Poroshenko","Hillary Clinton","positive","none"
3188,"Strongly suggest Donald Trump Jr.’s dad tweets this link if Donald Trump mentions us wlsearch.tk.""","Donald Trump","Donald Trump Jr.","positive","positive"
3189,"President Donald Trump on Sunday would not say whether he will pardon several former associates who were convicted after being charged as part of the Mueller probe, including former campaign chairman Paul Manafort and long-time friend Roger Stone.","Donald Trump","Roger Stone","positive","positive"
3190,"Kaveladze also facilitated an introduction between Veselnitskaya and the Agalarovs' lawyer, Scott Balber.","Kaveladze","Veselnitskaya","neutral","none"
3191,"The investigation focused on Mr. Manafort and a pair of Trump's advisers, Carter Page and Roger J. Stone.","Trump","Carter Page","positive","positive"
3192,"On November 7, Feliciano emailed to Svetlana Bignova, Paula Shugart' and others, stating that, ""Keith has also requested a person to stand in front of room when Trump is in the rooms I will work on that and hope to have someone provide.""","Feliciano","Paula Shugart","neutral","neutral"
3193,"On December 6, 2013, Emin Agalarov sent the signed agreement to Trump Jr. and introduced him, by email, to Irakli Kaveladze, who Agalarov said had worked on the Miss Universe pageant, had met Trump, and would be working on the Trump Tower deal for Crocus Group.","Irakli Kaveladze","Crocus Group","neutral","none"
3194,"Paul Manafort has advised the now-toppled pro-Russian Ukrainian president Viktor Yanukovych","Paul Manafort","Viktor Yanukovych","positive","positive"
3195,"According to an FBI interview of Gates, Alexander and Dmit Chera were the owners of Black Sea Cable affiliated with Rinat Akhmetov","Alexander","Black Sea Cable","neutral","none"
3196,"He said he had heard great things about James Comey and knew the people of the FBI thought very highly of James Comey as well.","FBI","James Comey","positive","none"
3197,"Sater recalled personally introducing ""a few of Polonsky's partners or directors"" to Trump as part of these discussions.","Sater","Trump","neutral","none"
3198,"The GRU then stole those snapshots by moving them to the DNC account that they controlled; from there, the copies were moved to GRUcontrolled computers.","GRU","DNC","negative","none"
3199,"Rykov operates many websites, some of which are funded and controlled by Russia's Presidential Administration.","Russia's Presidential Administration","Rykov","positive","none"
3200,"The next year, Michael Cohen attended a fundraiser for then-Rep. Patrick Kennedy, a Democrat, in Hyannis Port, Mass., on Cape Cod.","Michael Cohen","Patrick Kennedy","neutral","none"
5001,"Beginning on or about March 10, 2016, GRU officers sent hundreds of spearphishing emails to the work and personal email accounts of employees and volunteers of the Clinton Campaign.","GRU","Clinton Campaign","negative","none"
5002,"On November 22, Emin Agalarov wrote to Trump Jr., stating, ""I've spoken to Aras Agalarov about our conversation and all looks very positive, general terms are suitable for a negotiation, lets identify the land and building (we have a few options) and get the ball rolling contractually.""","Emin Agalarov","Aras Agalarov","positive","positive"
5003,"Page praised the former deputy prime minister, Igor Sechin, who is considered one of Putin’s closest allies over the past 25 years.","Page","Igor Sechin","positive","none"
5004,"Patten offered Kilimnik dinner that evening at his home.","Patten","Kilimnik","neutral","neutral"
5005,"Kilimnik's ability to navigate the Maydan-led ouster of Yanukovych, and his transition to power broker within the OB made him a valuable resource to the Embassy.","Kilimnik","Yanukovych","positive","none"
5006,"Klyushin previously served as an aide to Ilya Kostunov, who currently runs a pro-Kremlin school and training program funded by U.S.-sanctioned and indicted oligarch and influence operative Yevgeniy Prigozhin.","Klyushin","Ilya Kostunov","neutral","none"
5007,"On October 12, 2015, Sater emailed Cohen to inform him that Andrey Kostin, whom Sater described as ""Putin's top finance guy and CEO of 2nd largest bank in Russia,"" was ""on board and has indicated he would finance Trump Moscow.""","Putin","Andrey Kostin","positive","positive"
5008,"July 2016 was also the month WikiLeaks first released emails stolen by the GRU from the DNC.","WikiLeaks","DNC","negative","none"
5009,"Trump Jr. appeared to have passed the email and photographs on to Donald Trump.","Trump Jr.","Donald Trump","neutral","neutral"
5010,"Donald Trump, as Bannon described the plan in private and as he urged his boss, would no longer be addressing any of these areas","Bannon","Donald Trump","neutral","neutral"
5011,"However, Bannon recalled that later that same day, Manafort told him that The New York Times was nearing publication on a story alleging Manafort was involved in cash payments in Ukraine totaling millions of dollars.","The New York Times","Manafort","negative","none"
5012,"At noon, Sessions, Rosenstein, and Hunt met with McGahn and White House Counsel's Office attorney Uttam Dhillon at the White House.","Sessions","Uttam Dhillon","neutral","neutral"
5013,"On November 23, 2016, Kaveladze, having already been met with skepticism from Goldstone about a second meeting, indicated to Goldstone that Veselnitskaya was willing to change her flight ifneeded.","Kaveladze","Goldstone","neutral","none"
5014,"Although this file resembled the one previously shared by the GRU with WikiLeaks on July 14, 2016, using the Guccifer 2.0 persona, the contents and attributes of the file are unknown.","GRU","Wikileaks","positive","none"
5015,"Beginning in March 2016, units of the Russian Federation' s Main Intelligence Directorate of the General Staff (GRU) hacked the computers and email accounts of organizations, employees, and volunteers supporting the Clinton Campaign, including the email account of campaign chairman John Podesta.","GRU","John Podesta","negative","none"
5016,"The cable noted that all the messaging form Artem Klyushin and Konstantin Rykov are similar: filled with hatred for the Ukrainian government, the United States and its policies, and Western values.","Artem Klyushin","Ukrainian government","negative","none"
5017,"At this delicate diplomatic moment, Newsom has nimbly steered around questions that would lead to direct confrontation with Trump, including their disagreement over whether life can return to normal by Easter.","Newsom","Trump","positive","positive"
5018,"And Emin Agalarov said again: ""There's information, it's potentially damaging to the Democratic Party and Hillary, and Emin Agalarov thinks you should contact the Trumps; my dad would really like this meeting to take place. ""","Emin Agalarov","Democratic Party","negative","none"
5019,"On October 18, Goldstone drafted an email that Emin Agalarov planned to send to Shugart.","Goldstone","Emin Agalarov","neutral","none"
5020,"In the memoranda to Kolesnikov, Akhmetov, and Lyovochkin, Manafort also wrote that he was interested in Ukrainian politics and implied he might be interested in assisting them: I am watching intently at the prospects ofa new Ukraine government potentially forming in the coming days.","Manafort","Lyovochkin","positive","none"
5021,"Several other pieces of information about Kilimnik-while not as probative in isolation-are consistent with Kilimnik's affiliation with the Russian intelligence services because they closely align with Russian intelligence tradecraft.","Kilimnik","Russian intelligence services","neutral","neutral"
5022,"Rybka also suggested that she was in possession of more than 16 hours of audio recordings she made of Deripaska's conversations with business associates and Russian political leaders, namely Russian Deputy Prime Minister Sergei Prikhodko.","Rybka","Prikhodko","neutral","none"
5023,"Speaking in July 2016, a Russian source close to Rosneft President, PUTIN close associate and US-sanctioned individual, Igor SECHIN, confided the details of a recent secret meeting between him and visiting Foreign Affairs Advisor to Republican presidential candidate Donald TRUMP, Carter PAGE.","Carter PAGE","Igor SECHIN","neutral","neutral"
5024,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Murtaza Akbar","Rob Goldstone","neutral","neutral"
5025,"At about the same time that he hired Manafort, Deripaska introduced Manafort to pro-Russia oligarchs in Ukraine, including Rinat Akhmetov.","Deripaska","Manafort","neutral","none"
5026,"On this front, Bannon forged an easy bond with Donald Trump, who didn’t much hide his contempt for Herbert Raymond McMaster.","Donald Trump","Herbert Raymond McMaster","negative","none"
5027,"In September 2015, Trump authorized Cohen to pursue a deal in Russia through Felix Sater, a longtime business associate of Trump.","Trump","Felix Sater","positive","positive"
5028,"The Trump Campaign was elated by the news about WikiLeaks's plans, which it considered an unexpected ""gift.""","the Trump Campaign","WikiLeaks","positive","none"
5029,"Kilimnik, first as an employee of Manafort's in Kyiv, and later as Patten's partner, served in several roles, most notably as an advisor to the presidential administration and in particular to Yanukoych's then-chief of staff, Lyovochkin.","Kilimnik","Manafort","neutral","none"
5030,"After receiving the offer from Rtskhiladze, Cohen recalled that he reached out to Fotiadis and requested the previous renderings done for the skyscraper planned for Kazakhstan.","Cohen","Fotiadis","positive","none"
5031,"During Assange's interview with Credico on August 25, Assange denied contact with Stone, stating ""we have not had any communications with him whatsoever.""","Assange","Credico","neutral","neutral"
5032,"On June 10, 2016, Goldstone emailed Rhona Graff to inform her that ""Emin and Aras have a fairly sizable birthday gift for Mr. Trump"" and asked how it should be delivered.","Emin","Trump","positive","none"
5033,"Mermoud met with Chaly the next day.","Mermoud","Chaly","neutral","neutral"
5034,"The night before the pageant, Trump was scheduled to attend Aras Agalarov's birthday party at 10:00 p.m.","Trump","Aras Agalarov","positive","positive"
5035,"Given the context, ""our friends"" is almost certainly a reference to the oligarchs affiliated with the OB with whom Manafort and Kilimnik had longstanding ties.","Manafort","OB","positive","positive"
5036,"Messages and testimony from both Sater and Cohen indicate that on the afternoon of June 14, 2016, Cohen and Sater met in the atrium of Trump Tower in New York.","Sater","Cohen","neutral","neutral"
5037,"On April 25, 2016, Graff emailed Goldstone, writing, ""Hope all is well!","Graff","Goldstone","neutral","neutral"
5038,"According to Oknyansky, Rasin had tried unsuccessfully to shop the Clinton information around to other interested parties, and Oknyansky would receive a cut if the information was sold","Rasin","Clinton","negative","none"
5039,"Manafort also stayed in touch with Kilimnik; and Kilimnik was aware of Manafort is continuing communications with the Campaign.","Manafort","Kilimnik","positive","positive"
5040,"Paul Manafort and Konstantin Kilimnik also included efforts to resolve the Pericles issue with Deripaska and return to a cooperative relationship, including on unspecified areas as the result of a discreet meeting in Spain in early 2017.","Paul Manafort","Deripaska","positive","positive"
5041,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Keith Schiller","Trump Organization","positive","positive"
5042,"One factor supporting this hypothesis was the significant number of communications exchanged between the Guccifer 2.0 and DCLeaks accounts over Twitter direct messaging.","Guccifer 2.0","DCLeaks","neutral","neutral"
5043,"Roman Beniaminov told the Committee that Aras Agalarov instructed him to deliver the gift, a painting, with Goldstone's assistance.","Aras Agalarov","Roman Beniaminov","neutral","none"
5044,"Hours earlier on June 15, the GRU had released for the first time, through the Guccifer 2.0 persona, documents stolen from the DNC, as described above.","GRU","DNC","negative","none"
5045,"Over the course of their business dealings, Manafort and his firm had made tens of millions of dollars from Deripaska and Deripaska had loaned him millions of dollars more.","Manafort","Deripaska","neutral","neutral"
5046,"Manafort also told the SCO that from the time he left the Trump Campaign until the election, he met with Kushner ""once or twice"" and spoke to Kushner on the phone ""five or six times.""","Manafort","Trump Campaign","neutral","neutral"
5047,"Phone records for June and July reflect a total' of 28 calls between Gates and Stone and a total of 18 between Manafort and Stone, including those described below.","Manafort","Stone","neutral","neutral"
5048,"Approximately six days after first hacking into the DCCC network, on April 18, 2016, GRU officers gained access to the DNC network via a virtual private network (VPN) connection between the DCCC and DNC networks.","GRU","DNC","negative","none"
5049,"On November 5, 2016, Konstantin Sidorkov from VK again reached out to the Trump Campaign, replying to Goldstone's email to Scavino from June 29.","Konstantin Sidorkov","Scavino","neutral","neutral"
5050,"According to Goldstone, ""at the last minute"" A.J. Calloway asked Trump if he could fly home with Trump, and likely did join the flight.","A.J. Calloway","Trump","positive","positive"
5051,"Anatoli Samochomov testified to the Committee that Anatoli Samochomov has been interpreting professionally since roughly 1997 and has worked as a subcontractor for the Department of State, both as a program manager related to the International Visitor Leadership Program and as an interpreter.","Anatoli Samochomov","the International Visitor Leadership Program","neutral","neutral"
5052,"Manafort, Gates, Kilimnik, and others at Manafort's firm coordinated and managed polling work, media and advertising, the hiring of consultants, preparation of talking points, and speechwriting for Yanukovych and the PoR.","Kilimnik","Yanukovych","positive","none"
5053,"Mifsud's use of Polonskaya as a proxy to further induce contact with Papadopoulos is consistent with intelligence tradecraft.","Polonskaya","Mifsud","positive","none"
5054,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Timur Beniaminov","Michael Cohen","neutral","neutral"
5055,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Roman Beniaminov","Olivia Culpo","neutral","neutral"
5056,"In the memoranda to Kolesnikov, Akhmetov, and Lyovochkin, Manafort also wrote that he was interested in Ukrainian politics and implied he might be interested in assisting them: I am watching intently at the prospects ofa new Ukraine government potentially forming in the coming days.","Manafort","Kolesnikov","positive","none"
5057,"Shortly after Graff's email, Scavino replied to Goldstone, copying Graff and Trump Jr. He wrote:","Scavino","Graff","neutral","none"
5058,"On December 14, 2014, Jason Tropea emailed a Crocus employee, writing: ""Emin has asked me to review and study the Trump org. / Crocus contract for the residential tower.","Emin","Jason Tropea","neutral","neutral"
5059,"Bannon was Ivanka Trump and Jared Kushner’s public enemy; they expected nothing of him.","Bannon","Jared Kushner","negative","negative"
5060,"Felix Sater, Donald Trump Jr. and Ivanka Trump stayed at the National Hotel together, and I did what their dad asked me, keep an eye on them.","Felix Sater","Donald Trump Jr.","neutral","neutral"
5061,"Mr. Kosachev hands Mr. Rohrabacher a note on a piece of paper and says: ""Would you be willing to accept sensitive documents?"" . . .","Kosachev","Rohrabacher","positive","none"
