sentence,head,tail,relation_predicted,relation_true
"In April 2016, Assange and WikiLeaks criticized the release of information in the Panama Papers as a ""Putin attack [that] was produced by OCCRP which targets Russia & former USSR and was funded by USAID & Soros,"" a frequent refrain in Russian state-sponsored influence operations.",Soros,OCCRP,negative1,positive1
It was also the case that McMaster was disliked by Donald Trump and on the point of being dismissed.,Donald Trump,McMaster,negative1,negative2
"The data was subsequently leaked by GRU personas and WikiLeaks at strategic moments during the 2016 election, as part of a coordinated hack--and-leak operation intended to damage the Clinton Campaign, help the Trump Campaign (the ""Campaign""), and undermine the U.S. democratic process.",GRU,the Clinton Campaign,negative1,negative1
"Goldstone also recalled, ""I'd said either pre-or post-meeting to Emin, probably Emin, that: 'This is a pretty big favor; I hope it was worth it to your father.",Goldstone,Emin,neutral1,neutral2
"Now in a turn of fate, Newsom and the commander-in-chief are working together.",Newsom,commander-in-chief,positive1,positive2
"The first form of Russian election influence came principally from the Internet Research Agency, LLC (IRA), a Russian organization funded by Yevgeniy Viktorovich Prigozhin and companies he controlled, including Concord Management and Consulting LLC and Concord Catering (collectively ""Concord"").",Yevgeniy Viktorovich Prigozhin,Concord Catering,positive1,positive1
"Veselnitskaya has traveled frequently to the United States, in part due to her role representing the Russian businessman Denis Katsyv and his Cyprus-based company Prevezon Holdings.",Veselnitskaya,Denis Katsyv,positive1,positive2
"A spokesman for Donald Trump’s lawyer, Mark Corallo, denied these claims",Mark CORALLO,Donald Trump,neutral1,neutral1
"Starting in April 2016, the GRU hacked into the computer networks of the Democratic Congressional Campaign Committee (DCCC) and the Democratic National Committee (DNC).",GRU,DNC,negative1,negative1
"Following the meeting with Yakunin, Rohrabacher, Behrends, and the other members of the delegation met with Konstantin Kosachev, the Chairman of the Council of the Federation Committee on Foreign Affairs.",Yakunin,Rohrabacher,neutral2,neutral2
"Manafort in a memorandum at the time described the Orange Revolution and the defeat of Yanukovych as a ""disaster.""",Manafort,Yanukovych,negative1,positive1
"Kaveladze also facilitated an introduction between Veselnitskaya and the Agalarovs' lawyer, Scott Balber.",Scott Balber,Agalarovs,neutral1,neutral1
"Deripaska first became involved in Montenegro in a significant way through his purchase of a majority stake in Kombinat Aluminijuma Podgorica (KAP), Montenegro's largest exporter, which at one point was responsible for approximately half of the country's economic output.",Deripaska,Kombinat Aluminijuma Podgorica (KAP),positive1,positive1
"Gates, who arrived late to the meeting, said that Kilimnik had relayed an ""urgent"" message at the meeting.",Gates,Kilimnik,neutral1,neutral2
"Shugart,replied, ""I'll know more in the morning but it sounds serious.",Shugart,Rhona Graff,none,neutral2
"On March 24, 2016, Papadopoulos met with Mifsud and Olga Polonskaya, a Russian-national, at the Holborn Hotel.",Papadopoulos,Mifsud,neutral1,neutral2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Murtaza Akbar,Agalarov Family,neutral1,neutral1
The following day there was a dress rehearsal and the Miss USA pageant at which Aras Agalarov and Emin Agalarov sat beside Trump.,Emin Agalarov,Trump,neutral2,positive2
"Cohen recalled that he and Sater continued to have ""many"" conversations and that he had pressed Sater to identify a property for the project.",Cohen,Sater,neutral1,neutral1
Papadopoulos said yes.,Papadopoulos,Trump Campaign,positive1,neutral2
"The prospect of Cohen betraying Trump seemed unthinkable during the presidential race, when he served as a reliably combative surrogate.",Cohen,Trump,positive1,negative2
"Ultimately, two IRA employees-Anna Bogacheva and Aleksandra Krylova-received visas and entered the United States on June 4, 2014.",Aleksandra Krylova,IRA,positive1,neutral1
"The following day, October 30, Graff wrote to Shugart, ""Any news on Putin?""",Graff,Putin,neutral1,neutral1
"Graff confirmed that the book and letter were received, and apologized for the delay in responsiveness due to it being an unusual time.·",Graff,Rob Goldstone,neutral1,positive1
"It was at that point, for the first time, that Goldstone told Shugart that Manafort and Kushner had participated, as well as Veselnitskaya, and Goldstone described the focus on Browder, who he had not mentioned previously.",Kushner,Veselnitskaya,neutral1,neutral2
Nastya Rybka's arrest also apparently attracted the attention of Deripaska and his business associates.,Nastya Rybka,Deripaska,neutral1,neutral1
"At first, Michael Cohen appeared indifferent as he listened to the group of Republican leaders urge Donald Trump to run for governor.",Michael Cohen,Donald Trump,neutral1,neutral1
"In September 2017, Kilimnik shared a letter with Patten that Lyovochkin and his OB associates drafted allegedly on behalf of Oleksandr Lavrynovych.",Kilimnik,Patten,neutral1,neutral1
"Lyovochkin, Yanukovych's former chief of staff, helped lead the consolidation of the Opposition Bloc OB with the backing of Akhmetov, Yanukovych's longtime sponsor.",Lyovochkin,Opposition Bloc OB,positive1,positive1
"Once, during a dinner with Cohen and his wife, Laura, Freidman said Cohen bragged that he had pushed aside the doctor during their son’s birth and delivered the baby himself, a claim that Laura, at the table that night, dismissed as untrue.",Laura,Freidman,neutral1,neutral2
"On September 24, 2015, Rtskhiladze emailed Cohen a draft document in Russian.",Rtskhiladze,Cohen,neutral1,neutral2
"Kaveladze recalled that Aras Agalarov was initially very skeptical about hosting the pageant, but Emin Agalarov was excited and lobbied his father.",Emin Agalarov,Aras Agalarov,positive1,positive1
"On August 9, Assange gave an interview on Dutch television implying that Rich was the source of the DNC emails, and that day WikiLeaks announced that it would be issuing a reward for information about Rich's murder.",Assange,Rich,neutral1,positive1
"In May 2016, IRA employees, claiming to be U.S. social activists and administrators ofFacebook groups, recruited U.S. persons to hold signs (including one in front of the White House) that read ""Happy 55th Birthday Dear Boss,"" as an homage to Prigozhin whose 55th birthday was on June 1, 2016",IRA,Prigozhin,positive1,positive1
"The Committee found that Manafort's presence on the Campaign and proximity to Trump created opportunities for the Russian intelligence services to exert influence over, and acquire confidential information on, the Trump Campaign.",Russian intelligence services,the Trump Campaign,negative1,negative1
"As noted, Gates understood that Kilimnik would share the polling data with Ukrainian oligarchs affiliated with the OB and with Deripaska.",Kilimnik,Deripaska,neutral1,positive1
"One narrative from Assange involved a conspiracy theory that Seth Rich, a DNC staffer killed in a botched robbery, was the source of the DNC ·email leak and had been murdered in response.",Seth Rich,WikiLeaks,neutral1,positive1
"As outlined in his indictment and presented at trial, in subsequent congressional testimony to the HPSCI, Stone hid his communications with Corsi about WikiLeaks, and instead identified Credico as his intermediary; he also concealed communications he made directing both Corsi and Credico to obtain advance information about future WikiLeaks releases; and he made misleading and false statements about his communications with the Trump Campaign and individuals associated with the Campaign.",Stone,the Trump Campaign,negative1,neutral2
"According to an FBI interview of Gates, Alexander and Dmit Chera were the owners of Black Sea Cable affiliated with Rinat Akhmetov",Dmit Chera,Black Sea Cable,positive1,neutral1
Sater explained that he pursued a large number of international deals which he pitched to Trump and the Trump Organization.,Sater,the Trump Organization,positive1,neutral1
"And when he won, not only would another grievously stupid chapter in the war in Afghanistan be avoided, but Jarvanka, and Powell, their factotum, would be further consigned to irrelevance and powerlessness.",Powell,Jarvanka,negative1,neutral1
"In addition, Trump publicly requested that Russia find and release the ""missing"" emails from Clinton's server, and hours later, GRU hackers attempted new spear phishing attacks against the Clinton Campaign.",Trump,Russia,positive1,neutral1
Powell even helped design a PowerPoint deck that McMaster began using with the president: pictures of Kabul in the 1970s when it still looked something like a modern city.,Powell,McMaster,positive1,positive2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Murtaza Akbar,Donald Trump,neutral1,neutral2
"On Thursday, November 7, Donald Trump was scheduled to attend Billy Graham's birthday in North Carolina with Melania Trump.",Donald Trump,Billy Graham,neutral1,positive2
Manafort also stayed in touch with Kilimnik; and Kilimnik was aware of Manafort is continuing communications with the Trump Campaign.,Manafort,Trump Campaign,neutral1,positive2
"Veselnitskaya, who was on a phone call, handed Samochomov one of her phones and asked him to translate and transcribe a text message, which she dictated, asking that Akhmetshin be added to the meeting.",Veselnitskaya,Samochomov,neutral1,neutral1
"Separately, Bob Foresman, an American businessman living in Moscow who sought a position in the Trump Administration, conveyed brief messages between the Trump Campaign and several Kremlin-linked individuals, including Putin confidant Matthias Warnig, and provided other information relating to the U.S.-Russia relationship during the Transition.",Bob Foresman,Trump Administration,neutral1,positive1
"Her colleague Alexander Kirillov allegedly requested, in a letter to the American consulate, political asylum for those arrested with Rybka.",Alexander Kirillov,the American consulate,neutral1,neutral1
"With Gates's help, Manafort was involved in outreach from the Ukrainian Embassy in the United States to the Trump Campaign in September 2016.",Gates,Manafort,neutral1,positive2
"Later on June 24, Shugart responded to Graffs email, writing, ""I have no idea, I'm finding out now.""",Shugart,Graff,neutral1,neutral1
"Donald Trump wants to personally invite Vladimir Putin as his guest of honor to the November 9th Miss Universe Pageant, and would also hope to meet privately with him during Donald Trump's stay in Moscow.",Donald Trump,Vladimir Putin,positive1,positive1
"The GRU spearphishing operation enabled it to gain access to numerous email accounts of Clinton Campaign employees and volunteers, including campaign chairman John Podesta, junior volunteers assigned to the Clinton Campaign's advance team, informal Clinton Campaign advisors, and a DNC employee.",GRU,Clinton Campaign,negative1,negative1
"Veselnitskaya recalled that Trump Jr., ""asked a clarifying question, whether I had the financial records indicating that the particular funds that were obtained . . . in the United States were transferred directly to Clinton Foundation.""",Trump Jr.,Veselnitskaya,neutral1,neutral1
The investigation also identified numerous links between the Russian government and the Trump Campaign.,Russian government,Trump campaign,negative1,neutral2
Bannon wrote in the July 2017 email that Kushner “was on ‘vacation’ off the coast of Croatia with a Russian billionaire when I took over the Trump Campaign.”,Bannon,Trump Campaign,neutral1,positive1
He said: Sure.,Michael Cohen,Felix Sater,neutral1,neutral2
"And when Steve Bannon won, not only would another grievously stupid chapter in the war in Afghanistan be avoided, but Jarvanka, and Powell, their factotum, would be further consigned to irrelevance and powerlessness.",Steve Bannon,Jarvanka,negative1,negative1
Reince Priebus had to break up one impromptu meeting of Trump and his Homeland Security adviser after an aide asked the chief if there had been a change to the schedule.,Reince Priebus,Homeland Security adviser,neutral1,negative1
The message came from Yanukovych and asked whether Manafort would run Yanukovych' s comeback campaign,Yanukovych,Manafor,positive1,neutral2
"The article discussed Ukrainian politicians aligned with Poroshenko's political party who had reversed course after Trump's victory and were now accusing Leshchenko of ""falsifying evidence'' in a Ukrainian criminal case related to Manafort",Leshchenko,Manafort,negative1,negative1
"According to Cohen, Trump instructed Cohen to speak with then-campaign manager Corey Lewandowski about dates for potential travel to Russia.",Trump,Cohen,neutral1,neutral2
"While serving on the Trump Campaign, Manafort, often with the assistance of Gates, engaged with individuals inside Russia and Ukraine on matters pertaining to both his personal business prospects and the 2016 U.S. presidential election.",Gates,Manafort,neutral1,positive1
"Trump’s first campaign manager and the head of his transition project were each ousted when they questioned the calls of Trump’s son-in-law turned senior adviser, Jared Kushner.",Trump,Jared Kushner,neutral1,neutral1
"Manafort asked John Dowd, then a lead attorney for Trump, if Manafort and Gates were eligible for money from this fund.",Manafort,John Dowd,neutral1,neutral2
“Morty Levine should hate Donald Trump because he screwed Michael Cohen.,Donald Trump,Michael Cohen,negative1,negative1
The Special Counsel's Office cannot rule out that stolen documents were transferred to WikiLeaks through intermediaries who visited during the summer of 2016.,Special Counsel's Office,WikiLeaks,neutral1,negative1
But Cohen surprised Caputo by talking about his own political aspirations.,Cohen,Caputo,neutral1,neutral1
Rob is Aras Agalarov's rep in the US and sent this on.,Rob,Aras Agalarov,neutral1,positive2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Esther Swan,Olivia Culpo,neutral1,neutral2
"During subsequent communications, the Guccifer 2.0 persona informed DCLeaks that WikiLeaks was trying to contact DCLeaks and arrange for a way to speak through encrypted emails",Guccifer 2.0,DCLeaks,neutral1,neutral2
"IRA employees monitored the reaction of the Trump Campaign and, later, Trump Administration officials to their tweets.",IRA,Trump Administration,neutral1,neutral1
"According to Rob Goldstone, who later served as Emin Agalarov' s promoter and aide, there was ""too much red tape,"" making bringing the Miss Universe pageant to Moscow ""too difficult to do.""",Rob Goldstone,Emin Agalarov,neutral1,neutral1
"Starting in likely late 2004, Konstantin Kilimnik began to work for Manafort in Ukraine and elsewhere on Deripaska-related projects.",Konstantin Kilimnik,Deripaska,neutral1,neutral1
"The IRA was based in St. Petersburg, Russia, and received funding from Russian oligarch Evgeny Prigozhin and companies he controlled.",Evgeny Prigozhin,IRA,positive1,positive1
"The four-page letter went on to critique Comey's judgment and conduct, including his May 3 testimony before the Senate Judiciary Committee, his handling of the Clinton email investigation, and his failure to hold leakers accountable.",Donald Trump,Comey,negative1,negative1
Donald Trump greatly appreciates Emin Agalarov and Aras Agalarov's friendship-- this is one birthday that Donald Trump will always remember.,Donald Trump,Aras Agalarov,positive1,positive2
"For example, in approximately 2006, Sater recalled traveling to Russia on Trump' s request because both Ivanka Trump and Donald Trump Jr. would be traveling there, in part to research potential deals.",Sater,Ivanka Trump,neutral1,neutral1
"Kaveladze also facilitated an introduction between Veselnitskaya and the Agalarovs' lawyer, Scott Balber.",Veselnitskaya,Scott Balber,neutral1,neutral2
"In Bannon’s scenario, Trump would give McMaster a fourth star and “promote” him to top military commander in Afghanistan.",Trump,McMaster,positive1,negative1
"Gerson and Dmitriev constructed a five-point plan on how to improve relations between Russia and the U.S. and presented it to the Transition Team and the Kremlin, respectively.",Dmitriev,the Kremlin,positive1,neutral1
"Donald Trump has accused Mr Comey, without evidence, of illegally having classified information shared with The New York Times in a memo that Mr Comey wrote about his interactions with Donald Trump.",Comey,Donald Trump,negative1,neutral2
"Papadopoulos's wife, Mangiante, told the Committee that Papadopoulos thought Polonskaya was President Putin's niece because of the way Mifsud introduced her to Papadopoulos.",Polonskaya,Putin,neutral1,positive2
Chrysostomides and his companies assisted Manafort and Deripaska in setting up loans to disguise income in Cypriot businesses and avoid Cypriot taxes; these efforts included Pericles.,Chrysostomides,Manafort,positive1,positive1
"The same day as the Family Meeting, Emin Agalarov emailed Goldstone, asking if there was ""any news"" related to a possible call with Trump Jr.",Emin Agalarov,Trump Jr.,neutral1,neutral2
Documents show that Manafort worked for Yanukovych and the PoR at times unrelated to election campaigns and formed a continuous relationship with the PoR and Yanukovych.,Manafort,the PoR,positive1,neutral1
Donald Trump asked James Comey to end the bureau’s investigation into Mr. Flynn,Donald Trump,James Comey,negative1,neutral2
"Candidate Trump signed a Letter of lntent for Trump Tower Moscow by November 2015, and in January 2016 Trump Organization executive Michael Cohen emailed and spoke about the project with the office of Russian government press secretary Dmitry Peskov.",Michael Cohen,Trump Organization,neutral1,neutral1
"On the same day, March 24, 2016, almost certainly after his meeting with Mifsud and Polonskaya, Papadopoulos performed internet searches for the following terms:",Papadopoulos,Polonskaya,neutral1,neutral2
"At the time, Sater was in Russia working on a business deal to rent a transatlantic cable from AT&T.",Sater,AT&T,neutral1,neutral1
"Later that day, Donald Trump tweeted a link to Emin Agalarov's video.",Donald Trump,Emin Agalarov,positive1,positive1
He ordered White House press secretary Sean Spicer to conduct his first press briefing as a frothing attack dog.,Sean Spicer,White House,neutral1,neutral1
Manafort briefed Kilimnik on sensitive Campaign polling data and the Campaign's strategy for beating Hillary Clinton.,Manafort,Kilimnik,positive1,neutral2
Sergey Aleksashenko is a former deputy chairman of the Russian central bank and a former chairman of Merrill Lynch Russia,Sergey ALEKSASHENKO,Russian Central Bank,neutral1,neutral1
"Committee believes that he knew Kilimnik and Manafort ""were in contact"" in the period prior to the announcement, although he was not aware any specific communication relaying this information to Kilimnik.",Kilimnik,Manafort,neutral1,neutral2
"“He wished he was in ‘Goodfellas,’” said Greg Ehrlich, whose wedding Cohen attended in the early 2000s.",Greg Ehrlich,Cohen,neutral1,positive2
"On September 18, Stone texted Credico that he was ""e-mailing u a request to pass on to [A]ssange.""",Stone,Credico,neutral1,neutral2
Volume I describes the factual results of the Special Counsel's investigation of Russian Government's interference in the 2016 presidential election and its interactions with the Trump Campaign.,Russian Government,Trump Campaign,neutral1,neutral2
"According to Mangiante, she was introduced to Mifsud at some point between 2009 and 2016 through Gianni Pittella, the former head of a political group within the European Union.",Gianni Pittella,European Union,neutral1,neutral1
"Thereafter, Trump directed Trump Campaign officials to stay in touch with Roger Stone about future WikiLeaks activities regarding Clinton-related emails.",Trump Campaign,Roger Stone,neutral1,neutral2
"On September 20, 2016, an individual named Jason Fishbein sent WikiLeaks the password for an unlaunched website focused on Trump's ""unprecedented and dangerous"" ties to Russia, PutinTrump.org",Trump,Russia,negative1,neutral2
"That evening, Patten, Kilimnik, Lyovochkin, and a pollster who had worked with Kilimnik and Patten in Ukraine had dinner together.",Kilimnik,Lyovochkin,neutral1,positive2
"The investigation also established that the Trump Campaign displayed interest in the WikiLeaks releases, and that []",Trump Campaign,WikiLeaks,neutral1,positive1
Kilimnik also worked to conduct messaging to U.S. Government officials and the media to undercut other Ukrainian government investigations related to Manafort.,Kilimnik,Manafort,positive1,positive1
"Sater explained that he subsequently ""spoke to [Molchanov] on a number of occasions"" about the Trump deal.",Sater,Molchanov,neutral1,neutral2
"The article quoted ""a former Yanukovich loyalist now playing a lead role in the Regions party's successor, called Opposition Bloc"" who, according to the article, ""let loose a string of expletives"" and ""accused Western media of ' working in the interests of Hillary Clinton by trying to bring down Trump. """,Western Media,Trump,negative1,negative1
"Once, during a dinner with Cohen and his wife, Laura, Freidman said Cohen bragged that he had pushed aside the doctor during their son’s birth and delivered the baby himself, a claim that Laura, at the table that night, dismissed as untrue.",Cohen,Laura,neutral1,positive2
"After the start ofthe proceeding in the Cayman Islands, Adam Waldman, Deripaska's U.S.-based lawyer, told the Committee that in approximately March 2015, Deripaska asked him to ""look into"" the Pericles matter, Waldman recalled that he sought to locate Manafort, which ""took some doing.”",Adam Waldman,Manafort,neutral1,neutral1
"She wrote, ""I am very excited about our collaboration and am confident that our families will enjoy great success together.",Ivanka Trump,Emin Agalarov,positive2,positive1
"During Cohen's initial interview, Cohen's then-counsel Stephen Ryan told the Committee that Cohen was not involved in the production of documents to the Committee.",Stephen Ryan,Cohen,neutral1,positive1
"Chrysostomides used his company, Dr. K. Chrysostomides & Co LLC (DKCC) to create at least three shell companies on behalf of Manafort, Gates, and Deripaska-Lucile Consultants Limited, Bletilla Ventures Limited, and Yiakora Ventures Limited-all registered to 1 Lampousas Street, 1095 Nicosia, Cyprus.",Gates,Yiakora Ventures Limited,neutral1,neutral2
"Despite Trump's recollection, the Committee assesses that Trump did, in fact, speak with Stone about WikiLeaks and with members of his Campaign about Stone's access to WikiLeaks on multiple occasions.",Trump,Stone,positive2,neutral2
"On October 3, 2016, WikiLeaks sent another direct message to Trump Jr., asking ""you guys"" to help disseminate a link alleging candidate Clinton had advocated using a drone to target Julian Assange.",WikiLeaks,Trump Jr.,neutral1,neutral1
"Any of these calls would have provided Stone with an opportunity to share additional information about WikiLeaks directly with Trump, and given the content of his conversations with Manafort and Gates combined with Trump's known interest in the issue, the Committee assesses he likely did.",Stone,Manafort,neutral1,neutral2
"Flynn declared that he had had no such conversations, absolutely no conversation, he confirmed again, and the interview, attended by Karen DeYoung and senior National Security Council official and spokesman Michael Anton, ended soon thereafter.",Karen DeYoung,Michael Anton,neutral2,neutral2
Patten recalled conducting at least one poll with Kilimnik in 2017 as part of their ongoing work for the OB,Patten,OB,neutral1,neutral1
"By early November 2015, Trump and Rozov co-signed the LOI.",Trump,Rozov,neutral1,neutral2
"In the statements, DNC's cyber-response team alleged that Russian Government -sponsored actors (which they referred to as ""Fancy Bear"") were responsible for the breach.",DNC,Russian Government,negative1,negative2
"President Donald Trump on Sunday would not say whether he will pardon several former associates who were convicted after being charged as part of the Mueller probe, including former campaign chairman Paul Manafort and long-time friend Roger Stone.",Mueller,Roger Stone,none,negative2
Samochomov told the Committee: Then Mr. Akhmetshin took the floor and [in English] he talked about HRAGI [ ] and the fact that there is this chance.,Akhmetshin,HRAGI,neutral1,positive1
"The following day, October 30, Graff wrote to Shugart, ""Any news on Putin?""",Graff,Shugart,neutral1,neutral2
"While the GRU and WikiLeaks were coordinating the release of hacked DNC, DCCC, and Podesta documents, Trump and senior Campaign officials sought information relating to ""missing"" Hillary Clinton emails as part of the Campaign's opposition research and press strategies.",WikiLeaks,Podesta,none,negative1
"Since that time, Deripaska has sought to control the Montenegrin government and influence its policies toward Kremlin-aligned objectives",Deripaska,Kremlin,positive1,positive2
"According to Manafort, Kilimnik had been putting together background information on the status of inquiries by reporters and investigators about Manafort's activities in Kyiv, at Manafort's request.",Kilimnik,Manafort,positive1,neutral2
"Cohen responded to Sater the following day, stating, ""[w]orks for me.""",Cohen,Sater,positive1,neutral2
"And Irakly “Ike” Kaveladze looked at Goldstone and he goes: 'You don't need to leave; just sit, and you'll take them out at the end,""' and Goldstone agreed.",Irakly “Ike” Kaveladze,Goldstone,positive1,neutral2
"In this, the comms team was judged to be antagonistic if not hostile to the interests of Jared and Ivanka; Spicer and his people had failed to mount an inclusive defense for them, nor had the comms team adequately defended the White House.",comms team,Jared,negative1,negative2
"This is in contrast to what Clovis stated in his interview with the Committee, during which he stated, ""I think my advice to George [Papadopoulos] has always been: No to Russia.""",Clovis,Papadopoulos,positive1,neutral2
"A work proposal describes Kilimnik as having ""managed successful political operations for Ukraine's ruling party, prime minister and Ukraine's president from 2005-2014,” and having worked as a ""senior member of campaign team for successful referendum for independence in Montenegro in 2006 and several other parliamentary and presidential campaigns."");",Kilimnik,Ukraine's president,positive1,neutral2
"Kaveladze said that, on June 7, he strongly suggested to Aras Agalarov, again, that they meet with Donald Trump's attorneys, rather than the Campaign leadership, but he did not raise the derogatory information regarding Hillary Clinton.",Kaveladze,Aras Agalarov,neutral1,neutral1
"But tensions and suspicions mounted, especially after the two most important political advisers in DeSantis’ orbit — chief of staff Shane Strum and his wife, Casey DeSantis — went to Florida GOP headquarters in Tallahassee in April 2019.",DeSantis,Shane Strum,neutral1,positive2
"Beginning in March 2016, officers of the Russian Main Intelligence Directorate, the GRU, successfully hacked computer networks belonging to the Democratic National Committee (DNC) and the Democratic Congressional Campaign Committee (DCCC), and the email accounts of Clinton Campaign officials and employees, including Campaign Chairman, John Podesta.",GRU,Democratic National Committee,negative1,negative1
"Following Ivanka Trump's visit to Crocus on February 4, she emailed Emin Agalarov to thank him for the tour.",Ivanka Trump,Emin Agalarov,positive1,positive1
Shugart told the Committee that she understood Goldstone to be discussing meeting with Dmitry Peskov.,Goldstone,Dmitry Peskov,neutral1,positive1
"Aras Agalarov, Emin's father, expressed concern that DT would only be in on November 8th.",Aras Agalarov,Emin,neutral1,positive2
"Barrack attached to the email both of Manafort's previous memoranda to him, totaling five pages.",Barrack,Donald Trump,neutral1,neutral2
"But Trump said Tuesday during a joint press conference with Swedish Prime Minister Stefan Lofven that people love working in the White House because it's got ""tremendous energy,"" though some people ""change.""",Stefan Lofven,Trump,neutral2,neutral2
Stone returned the call to Schiller at 1:51 p.m. for three minutes.,Stone,Schiller,neutral1,neutral2
Manafort eventually admitted to reading a foldered email from Kilimnik describing the plan and steps for its implementation in December 2016.,Manafort,Kilimnik,neutral1,neutral2
Manafort stated that he told Kilimnik the plan was crazy and that ended the discussion,Manafort,Kilimnik,neutral1,neutral2
"To underscore his point, Mr McGahn had White House lawyers write a memo for Mr Trump warning that if he asked law enforcement to investigate his rivals, he could face a range of consequences, including possible impeachment.",McGahn,Trump,neutral1,negative1
"That previous influence effort occurred in Moscow in April 2016, months prior to the June 9, 2016 meeting, when then U.S. Congressman Dana Rohrabacher was provided a folder of information from the Russian government that was largely similar in content to what Veselnitskaya later used in Trump Tower.",Dana Rohrabacher,U.S.,neutral1,neutral2
"Tropea responded, ""We can consider that relationship done[.]""",Tropea,Rob Goldstone,negative1,neutral2
"For example, in early 2016, Vasiliy Anisimov, a Russian oligarch with ties to Vladimir Putin and ties to organized crime, sought to hire Louis Freeh, an American lobbyist and former Director of the FBI, to work with Veselnitskaya on the Prevezon case.",Louis Freeh,FBI,neutral1,positive2
"Trump's written responses to questions from the SCO state, ""I have no recollection of learning at the time that Donald Trump Jr., Paul Manafort, or Jared Kushner was considering participating in a meeting in June 2016 concerning potentially negative information about Hillary Clinton.""",Paul Manafort,Hillary Clinton,neutral1,negative1
"While this account is generally supported by documents provided to the Committee, it does not fully capture the extent to which Aras Agalarov and Veselnitskaya pushed for the meeting.",Veselnitskaya,Donald Trump,neutral1,positive1
"Veselnitskaya has traveled frequently to the United States, in part due to her role representing the Russian businessman Denis Katsyv and his Cyprus-based company Prevezon Holdings.",Veselnitskaya,Prevezon Holdings,positive1,positive2
"After checking in at his hotel, Rinat Akhmetshin remembered receiving a call from Veselnitskaya asking Rinat Akhmetshin to join her for lunch.",Veselnitskaya,Rinat Akhmetshin,neutral1,positive1
Trump and the Campaign believed that Stone had inside information and expressed satisfaction that Stone's information suggested more releases would be forthcoming.,Trump,Stone,positive2,positive1
"Though the records obtained by the Committee are limited, they show numerous phone calls throughout June and July between Trump and Stone.",Trump,Stone,positive2,neutral2
"“I spoke to the president on Friday and he asked me if I thought it would be more respectful to move the rally date off of Juneteenth,” said Senator James Lankford, Republican of Oklahoma. “I told him yes.”",James Lankford,Senate,neutral1,neutral1
"As discussed below, the GRU transferred hacked materials to WikiLeaks on or about , July 14, 2016, approximately one month after this June 15 blog post.",GRU,Wikileaks,positive1,positive1
Trump Campaign leadership reacted positively to the news that the DNC had been hacked by the Russians.,Trump Campaign,DNC,positive1,negative1
"Kaveladze told the Committee that he met with Veselnitskaya, Akhmetshin, and Samochomov, at a dinner in New York for Veselnitskaya's birthday, likely in February of 2017.",Kaveladze,Samochomov,neutral1,neutral2
"According to Sechin's associate, the Rosneft President (CEO) had raised with Page the issues of future bilateral energy cooperation and prospects for an associated move to lift Ukraine-related western sanctions against Russia.",Sechin,Page,neutral1,neutral2
"On November 12, Olivia Cellini from the Trump Organization emailed Goldstone and Beniaminov: ""Can you please send me Aras' email address?",Olivia Cellini,Trump,neutral1,neutral1
"During the interview, he claimed that WikiLeaks had ""emails related to Hillary Clinton which are pending publication.""",Wikileaks,Hillary Clinton,neutral1,negative1
"Manafort recalled that he met Deripaska through his business partner at the time, Rick Davis",Manafort,Rick Davis,neutral1,positive2
"WikiLeaks also explained, ""we think trump has only a 25% chance of winning against hillary ... so conflict between bernie and hillary is interesting.""",Bernie,Hillary,neutral1,negative2
"However, at the time, Stone was focused on the potential for a WikiLeaks release, the Campaign was following WikiLeaks's announcements, and Trump's prior call with Stone on September 29, also using Schiller's phone, related to a WikiLeaks release.",Trump,Stone,neutral1,neutral2
"During the meeting, Kilimnik updated Manafort on what was happening with Lyovochkin, Akhmetov, and their ""other friends"" in Kyiv.",Lyovochkin,Kilimnik,neutral1,positive2
"On June 7, at 12:44 p.m., the same Russian phone number previously identified as being associated with Emin Agalarov called Trump Jr. for two minutes.",Emin Agalarov,Trump Jr.,neutral1,neutral2
"On October 9, 2015, Sater emailed Cohen to tell Cohen that Sater would be meeting with Russian billionaire Andrey Molchanov in the coming days.",Sater,Cohen,neutral1,neutral2
"Two days later, on January 16, 2016, Cohen also emailed the corrected email address from his initial request, Pr_peskova@prpress.gov.ru, with a request to speak with Ivanov.",Cohen,Ivanov,neutral1,positive1
